# StellarMass HIMass H2Mass SFR StellarSurfaceDensity MolecularSurfaceDensity MolecularMetallicity
# Msun Msun Msun Msun/yr Msun/kpc^2 Msun/kpc^2 Zsun (h=0.6774, Zsun=0.0134, HI/H2=GD14)
1.1750e+09 4.0620e+07 6.4728e+07 4.7909e-02 3.3222e+07 1.7408e+07 1.9168e+00
6.3120e+09 0.0000e+00 0.0000e+00 0.0000e+00 4.5368e+08 nan nan
1.7881e+09 7.8757e+08 6.8670e+08 4.4034e-01 2.9133e+07 9.1127e+06 7.9321e-01
1.6566e+09 8.2309e+07 1.5120e+08 1.3591e-01 8.4108e+07 2.3603e+07 1.6368e+00
1.1241e+09 1.4057e+08 1.9391e+08 2.2576e-01 5.2415e+07 2.9133e+07 1.2350e+00
2.6948e+09 9.7508e+07 1.5507e+08 1.0428e-01 6.4445e+07 2.0481e+07 2.1730e+00
1.5762e+09 0.0000e+00 0.0000e+00 0.0000e+00 3.8741e+07 nan nan
1.1550e+09 5.7455e+08 3.9550e+08 6.3200e-01 7.1012e+07 3.6438e+07 7.9168e-01
1.0826e+09 7.6330e+08 4.4753e+08 1.5258e-01 2.6355e+07 3.4050e+06 7.6937e-01
3.1997e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.5670e+08 nan nan
4.2741e+09 0.0000e+00 0.0000e+00 0.0000e+00 3.0549e+08 nan nan
2.1790e+09 0.0000e+00 0.0000e+00 0.0000e+00 6.0706e+07 nan nan
1.7512e+09 0.0000e+00 0.0000e+00 0.0000e+00 8.5111e+07 nan nan
1.8691e+09 3.6485e+07 8.6281e+07 7.6365e-02 1.2382e+08 1.3838e+06 1.6133e+00
2.6476e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.6908e+08 nan nan
1.2218e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.5341e+08 nan nan
7.8449e+11 4.8511e+10 8.8592e+10 1.4019e+02 2.4957e+08 3.1893e+07 9.1531e-01
2.3874e+11 1.2238e+10 4.8767e+09 1.0122e+00 6.5292e+08 1.3696e+05 4.0963e-01
3.4192e+11 4.3007e+09 6.9255e+09 5.5699e+00 1.2793e+09 8.6660e+05 7.9531e-01
1.9484e+11 5.4967e+08 1.8157e+08 5.7639e-03 1.3743e+09 1.6218e+04 6.0560e-01
5.2963e+10 5.7969e+09 7.9837e+09 1.0198e+01 1.2014e+09 4.1758e+07 1.2116e+00
